Transaction_ID,Date,SKU_ID,Product_Name,Category_L1,Category_L2,Category_L3,Unit_Price,Unit_Cost,Quantity_Sold,Total_Sale_Amount,Discount_Applied,Promotion_ID,Payment_Method,Store_ID,Store_Location,Region,Stock_On_Hand,Customer_ID
TXN000001,2020-09-28,SKU023,Modern Pants Mouth,Clothing,Pants,Seasonal,194.66,141.83,4,778.64,0.0,,Cash,STR015,Adamsborough,South,91,
TXN000002,2024-07-10,SKU042,Luxurious Handbags Collection,Accessories,Handbags,Formal,101.46,77.05,19,1927.74,0.0,,UPI,STR009,West Michael,Northeast,18,e059a0ee-9132-463e-b162-87e4e9c349e0
TXN000003,2024-12-27,SKU007,Luxurious Skincare Dog,Beauty,Skincare,Casual,111.88,88.6,5,602.15,0.0,,Credit Card,STR012,South Noah,Northeast,88,
TXN000004,2021-06-24,SKU033,Stylish Pants Discussion,Clothing,Pants,Seasonal,,61.16,1,121.8,8.48,PROMO003,Cash,STR008,Ramirezstad,South,17,
TXN000005,2021-06-20,SKU011,Chic Sandals Require,Footwear,Sandals,Formal,49.81,28.89,7,348.67,0.0,,Cash,STR012,South Noah,Northeast,89,
TXN000006,2023-01-22,SKU003,Elegant Belts Ago,Accessories,Belts,Seasonal,116.64,83.37,9,1049.76,2.56,PROMO003,Credit Card,STR014,East Lydiamouth,West,6,
TXN000007,2021-03-06,SKU044,Bohemian Earrings Knowledge,Jewelry,Earrings,Formal,135.76,87.7,6,814.56,0.0,,UPI,STR004,New Kellystad,Midwest,80,
TXN000008,2021-04-29,SKU011,Chic Sandals Require,Footwear,Sandals,Formal,49.81,28.89,1,49.81,18.49,PROMO004,UPI,STR013,Lake Mark,Northeast,32,a7cad415-366e-416f-908e-bad7b7c93acf
TXN000009,2024-05-31,SKU045,Elegant Scarves Grow,Accessories,Scarves,Casual,120.04,79.55,1,120.04,0.0,,Credit Card,STR002,Cassandraton,West,59,
TXN000010,2024-08-07,SKU015,Stylish Fragrances Begin,Beauty,Fragrances,Formal,134.53,83.23,4,538.12,0.0,,Credit Card,STR004,New Kellystad,Midwest,0,
TXN000011,12/20/2021,SKU042,Luxurious Handbags Collection,Accessories,Handbags,Formal,101.46,77.05,9,913.14,0.0,,Cash,STR009,West Michael,Northeast,34,
